TP_Overall,TP_Speed,TP_Throttle,TP_Brake,TP_Cruise,TP_RRCP,TP_Malicious,TP_ARP,Attack
40239.94287801631,13071.363023697731,12266.97145300864,12266.97145300864,2329.1717948750584,305.4651534262372,0.0,0.0,0
40032.36422158096,13003.93410158263,12203.6920030237,12049.214889061372,2471.6338233972047,303.8894045160497,0.0,0.0,0
40278.5970267526,13083.919264446771,12123.327723512706,12278.75500201928,2486.8364561051703,305.7585806686685,0.0,0.0,0
41372.54395703699,13090.28943223774,12284.73315948465,12284.73315948465,2519.9452634840304,309.8293356742661,0.0,0.0,0
40113.47360631103,13089.235865513136,12283.744427635404,12283.744427635404,2456.748885527081,0.0,0.0,0.0,0
40298.00332672661,13090.223120112674,12284.67092810574,12284.67092810574,2332.5324547036216,305.9058956988356,0.0,0.0,0
40531.28710687552,13002.633866860218,12358.91372867838,12358.91372867838,2503.071134922204,307.7546477363365,0.0,0.0,0
40253.98102654276,13075.92311306282,12271.250921489724,12115.918631344286,2485.3166423270327,305.57171831889747,0.0,0.0,0
39844.03420846361,13001.316383283807,12201.235375081726,12201.235375081726,2440.247075016345,0.0,0.0,0.0,0
40287.93846710613,13086.95369614056,12126.13937414543,12281.602699454988,2487.413204952909,305.82949241224287,0.0,0.0,0
40304.47624960325,13092.325755422107,12286.644170473057,12286.644170473057,2332.9071209758963,305.955032259134,0.0,0.0,0
40508.74306014792,12995.401627116547,12352.039534728729,12352.039534728729,2501.678893109616,307.583470464297,0.0,0.0,0
40241.78674755077,13071.961978028416,12267.533548611284,12112.248313818736,2484.5637566807663,305.47915041156966,0.0,0.0,0
39851.008841192335,13003.592242356935,12203.371181288818,12203.371181288818,2440.674236257764,0.0,0.0,0.0,0
40279.623346791326,13084.25264965672,12123.636632340153,12279.067871216308,2486.8998220184926,305.76637155965074,0.0,0.0,0
40299.49294223521,13090.707000150416,12285.12503091039,12285.12503091039,2332.6186767551376,305.9172035088705,0.0,0.0,0
40520.79113485905,12999.266708031852,12355.713267456706,12355.713267456706,2502.422940244396,307.6749516693929,0.0,0.0,0
40252.03354505882,13075.290501889996,12270.657240235229,12115.332465042376,2485.196403085615,305.5569348056085,0.0,0.0,0
39837.31098150878,12999.122559227262,12199.176555582508,12199.176555582508,2439.835311116501,0.0,0.0,0.0,0
40295.17849632298,13089.305514841755,12128.31852767616,12283.809790851496,2487.860210805366,305.88445214820075,0.0,0.0,0
40307.2509960159,13093.227091633456,12287.490039840626,12287.490039840626,2333.0677290836634,305.9760956175296,0.0,0.0,0
40508.43156704885,12995.30169861666,12351.944553379424,12351.944553379424,2501.659656380643,307.581105292702,0.0,0.0,0
40252.18728674597,13075.340442651855,12270.704107719435,12115.37873926729,2485.205895234316,305.5581018730716,0.0,0.0,0
39836.663679416924,12998.9113411752,12198.97833556442,12198.97833556442,2439.795667112884,0.0,0.0,0.0,0
40295.22985334098,13089.32219742573,12128.333985462828,12283.825446814915,2487.8633816334004,305.88484200410664,0.0,0.0,0
40294.87035696444,13089.205420231046,12283.715855909137,12283.715855909137,2332.3511118814818,305.8821130336369,0.0,0.0,0
40527.18159916188,13001.316800034849,12357.661865753043,12357.661865753043,2502.817593063908,307.72347455703783,0.0,0.0,0
40065.61951992161,13073.620827283656,12269.090314835434,12269.090314835434,2453.8180629670865,0.0,0.0,0.0,0
40240.8647916617,13071.66249400195,12267.25249437106,12111.970817227124,2484.506834303,305.4721517585656,0.0,0.0,0
40304.37348855424,13092.292374982666,12131.086099351029,12286.612844214502,2488.4279178155957,305.95425219044205,0.0,0.0,0
40296.6679029954,13089.789327042088,12284.263829993344,12284.263829993344,2332.455157593673,305.89575837294075,0.0,0.0,0
40520.946975864055,12999.316702583572,12355.760786932984,12355.760786932984,2502.4325644421237,307.6761349723922,0.0,0.0,0
40066.5764900512,13073.933091633173,12269.383362917286,12269.383362917286,2453.876672583457,0.0,0.0,0.0,0
40250.75241000366,13074.87434371007,12270.26669178945,12114.946860247812,2485.117304666218,305.5472095901088,0.0,0.0,0
40307.81626897716,13093.410712373336,12132.122330958584,12287.662360842667,2488.6404781453507,305.98038665721526,0.0,0.0,0
40289.63270882034,13087.5040460395,12282.11918166784,12282.11918166784,2332.0479458862987,305.84235355885886,0.0,0.0,0
40533.10626860245,13003.217462782488,12359.46843257373,12359.46843257373,2503.1834800149327,307.7684606575737,0.0,0.0,0
40062.09423491482,13072.47050838084,12268.010784788172,12268.010784788172,2453.602156957634,0.0,0.0,0.0,0
40515.50180193535,13074.507933028592,12269.922829457604,12112.61612651584,2516.9072470682263,309.45580906576555,77.36395226644139,154.72790453288275,1
40220.31053026707,13090.656941935817,12129.570736072175,12285.078053201303,2332.6097569369567,305.91603369665006,76.47900842416252,0.0,1
40645.70434135994,13090.695020371928,12285.11378834904,12285.11378834904,2520.023341199803,309.8389353934184,154.9194676967092,0.0,1
40132.05902622902,13010.803908055184,12210.139052174864,12210.139052174864,2472.9395548708585,152.0249726355036,76.0124863177518,0.0,1
40502.72170908984,12993.469948436186,12350.203487478102,12350.203487478102,2501.307035438603,153.76887512942233,153.76887512942233,0.0,1
40168.34193883502,13073.7425274715,12269.204525780946,12113.898139378656,2329.595796034357,305.52076013565335,76.38019003391334,0.0,1
40364.98231371702,13000.283339508658,12200.265903231202,12200.265903231202,2502.618646816657,307.69901395286763,153.84950697643382,0.0,1
40437.93880085972,12998.183587165331,12198.295366416696,12354.683768550243,2502.2144341367584,307.64931567255223,76.91232891813806,0.0,1
39901.56574809765,13070.94254063927,12266.5768458307,12113.244635257815,2299.983158593256,0.0,150.81856777660695,0.0,1
40361.67051472559,12999.216713864742,12199.26491608845,12199.26491608845,2502.413316120708,307.6737683754968,153.8368841877484,0.0,1
40441.56766520637,12999.35003249834,12199.390030498442,12355.792466786885,2502.438980615065,307.67692384611456,76.91923096152864,0.0,1
40372.02981879244,13165.907095103466,12199.2961944503,12199.2961944503,2346.0184989327504,307.674557237082,153.837278618541,0.0,1
40453.44378758904,13003.167438222052,12359.420884574372,12202.972518946848,2503.173850040379,307.76727664430894,76.94181916107723,0.0,1
40287.125179390096,12997.07154590489,12197.251758464588,12197.251758464588,2470.329470068777,0.0,151.8645166025888,0.0,1
40566.49494713809,13000.766711883069,12200.71952961334,12357.139010762228,2346.2922172333347,307.71045471912583,76.92761367978146,0.0,1
40359.80786659893,12998.6168138519,12198.701932999476,12198.701932999476,2502.2978324101487,307.6595695586248,153.8297847793124,0.0,1
40800.43121568244,13075.738701865355,12271.077858673643,12271.077858673643,2517.144176138183,309.4849396891209,77.37123492228022,0.0,1
40512.14766304944,13069.666284460567,12265.379128493763,12265.379128493763,2484.1274184291165,0.0,152.71275113293748,0.0,1
40166.14327884756,13073.026921270344,12268.532956884475,12113.235071354293,2329.4682829527487,305.5040371085572,76.3760092771393,0.0,1
40380.77257534499,13005.368883051651,12205.038490248477,12205.038490248477,2503.597639025328,307.8193818473764,153.9096909236882,0.0,1
